article_id,result
0,is-biased
1,is-not-biased
2,is-biased
3,is-biased
4,is-biased
5,is-biased
6,is-not-biased
7,is-not-biased
8,is-biased
9,is-biased
10,is-biased
11,is-not-biased
12,is-biased
13,is-not-biased
14,is-biased
15,is-biased
16,is-biased
17,is-biased
18,is-biased
19,is-biased
20,is-biased
21,is-biased
22,is-not-biased
23,is-not-biased
24,is-biased
25,is-not-biased
26,is-not-biased
27,is-not-biased
28,is-not-biased
29,is-not-biased
30,is-biased
31,is-biased
32,is-not-biased
33,is-not-biased
34,is-biased
35,is-not-biased
36,is-not-biased
37,is-not-biased
38,is-biased
39,is-not-biased
40,is-biased
41,is-biased
42,is-not-biased
43,
44,is-not-biased
45,is-not-biased
46,is-not-biased
47,is-not-biased
48,is-not-biased
49,is-not-biased
50,is-not-biased
51,is-not-biased
52,is-biased
53,is-not-biased
54,is-not-biased
55,is-not-biased
56,is-not-biased
57,is-biased
58,is-biased
59,is-not-biased
60,is-not-biased
61,is-biased
62,is-not-biased
63,is-not-biased
64,is-not-biased
65,is-not-biased
66,is-biased
67,is-not-biased
68,is-not-biased
69,is-not-biased
70,is-biased
71,is-biased
72,is-not-biased
73,is-not-biased
74,is-biased
75,is-not-biased
76,is-not-biased
77,is-biased
78,is-not-biased
79,is-not-biased
80,is-not-biased
81,is-not-biased
82,is-biased
83,is-not-biased
84,is-biased
85,is-biased
86,is-not-biased
87,is-not-biased
88,is-not-biased
89,is-not-biased
90,is-biased
91,is-not-biased
92,is-biased
93,is-biased
94,is-biased
95,is-not-biased
96,is-not-biased
97,is-not-biased
98,is-not-biased
99,is-biased
100,is-not-biased
101,is-not-biased
102,is-biased
103,is-biased
104,is-not-biased
105,is-not-biased
106,is-biased
107,is-biased
108,is-not-biased
109,is-biased
110,is-not-biased
111,is-not-biased
112,is-not-biased
113,is-not-biased
114,is-biased
115,is-not-biased
116,is-biased
117,is-biased
118,is-biased
119,is-biased
120,is-not-biased
121,is-biased
122,is-biased
123,is-not-biased
124,is-not-biased
125,is-biased
126,is-not-biased
127,is-biased
128,is-not-biased
129,is-not-biased
130,is-biased
131,is-not-biased
132,is-not-biased
133,is-not-biased
134,is-not-biased
135,is-not-biased
136,is-biased
137,is-not-biased
138,is-biased
139,is-not-biased
140,is-not-biased
141,is-not-biased
142,is-biased
143,is-not-biased
144,is-not-biased
145,is-biased
146,is-not-biased
147,is-biased
148,is-biased
149,is-not-biased
150,is-not-biased
151,is-biased
152,is-biased
153,is-not-biased
154,is-not-biased
155,is-not-biased
156,is-biased
157,is-not-biased
158,is-biased
159,is-not-biased
160,is-not-biased
161,is-biased
162,is-not-biased
163,is-not-biased
164,is-not-biased
165,is-not-biased
166,is-biased
167,is-not-biased
168,is-biased
169,is-not-biased
170,is-not-biased
171,is-biased
172,is-not-biased
173,is-not-biased
174,is-not-biased
175,is-biased
176,is-biased
177,is-biased
178,is-biased
179,is-not-biased
180,is-biased
181,is-not-biased
182,is-not-biased
183,is-not-biased
184,is-biased
185,is-not-biased
186,is-not-biased
187,is-not-biased
188,is-not-biased
189,is-not-biased
190,is-biased
191,is-not-biased
192,is-not-biased
193,is-not-biased
194,is-not-biased
195,is-not-biased
196,is-not-biased
197,is-not-biased
198,is-biased
199,is-biased
200,is-biased
201,is-not-biased
202,is-not-biased
203,is-not-biased
204,is-not-biased
205,is-not-biased
206,is-not-biased
207,is-not-biased
208,is-not-biased
209,is-biased
210,is-not-biased
211,is-not-biased
212,is-biased
213,is-not-biased
214,is-biased
215,is-biased
216,is-not-biased
217,is-biased
218,is-not-biased
219,is-not-biased
220,is-biased
221,is-not-biased
222,is-biased
223,is-biased
224,is-not-biased
225,is-not-biased
226,is-biased
227,is-not-biased
228,is-not-biased
229,is-not-biased
230,is-biased
231,is-not-biased
232,is-biased
233,is-biased
234,is-not-biased
235,is-not-biased
236,is-not-biased
237,is-not-biased
238,is-not-biased
239,is-not-biased
240,is-biased
241,is-biased
242,is-biased
243,is-not-biased
244,is-not-biased
245,is-not-biased
246,is-biased
247,is-not-biased
248,is-not-biased
249,is-biased
250,is-biased
251,is-not-biased
252,is-not-biased
253,is-biased
254,is-not-biased
255,is-not-biased
256,is-not-biased
257,is-not-biased
258,is-not-biased
259,is-not-biased
260,is-biased
261,is-biased
262,is-not-biased
263,is-biased
264,is-biased
265,is-not-biased
266,is-biased
267,is-not-biased
268,is-not-biased
269,is-not-biased
270,is-biased
271,is-biased
272,is-not-biased
273,is-not-biased
274,is-biased
275,is-biased
276,is-not-biased
277,is-biased
278,is-biased
279,is-not-biased
280,is-not-biased
281,is-not-biased
282,is-not-biased
283,is-not-biased
284,is-not-biased
285,is-not-biased
286,is-biased
287,is-not-biased
288,is-not-biased
289,is-not-biased
