id,result
0,is-biased
1,is-not-biased
2,is-biased
3,is-not-biased
4,is-not-biased
5,is-not-biased
6,is-biased
7,is-not-biased
8,is-biased
9,is-not-biased
10,is-not-biased
11,is-biased
12,is-biased
13,is-not-biased
14,is-biased
15,is-biased
16,is-not-biased
17,is-biased
18,is-biased
19,is-biased
20,is-not-biased
21,is-not-biased
22,is-not-biased
23,is-not-biased
24,is-biased
25,is-not-biased
26,is-not-biased
27,is-biased
28,is-biased
29,is-biased
30,is-biased
31,is-biased
32,is-not-biased
33,is-biased
34,is-biased
35,is-biased
36,is-biased
37,is-biased
38,is-biased
39,is-biased
40,is-biased
41,is-biased
42,is-biased
43,is-biased
44,is-biased
45,is-biased
46,is-biased
47,is-biased
48,is-biased
49,is-biased
50,is-biased
51,is-biased
52,is-biased
53,is-biased
54,is-biased
55,is-biased
56,is-biased
57,is-biased
58,is-biased
59,is-biased
60,is-biased
61,is-biased
62,is-biased
63,is-biased
64,is-biased
65,is-biased
66,is-biased
67,is-biased
68,is-biased
69,is-biased
70,is-biased
71,is-biased
72,is-biased
73,is-biased
74,is-biased
75,is-biased
76,is-biased
77,is-biased
78,is-biased
79,is-biased
80,is-biased
81,is-not-biased
82,is-biased
83,is-not-biased
84,is-not-biased
85,is-not-biased
86,is-not-biased
87,is-not-biased
88,is-not-biased
89,is-not-biased
90,is-not-biased
91,is-not-biased
92,is-not-biased
93,is-not-biased
94,is-not-biased
95,is-not-biased
96,is-not-biased
97,is-not-biased
98,is-not-biased
99,is-not-biased
100,is-not-biased
101,is-not-biased
102,is-not-biased
103,is-not-biased
104,is-not-biased
105,is-not-biased
106,is-not-biased
107,is-not-biased
108,is-not-biased
109,is-not-biased
110,is-not-biased
111,is-not-biased
112,is-not-biased
113,is-not-biased
114,is-biased
115,is-biased
116,is-biased
117,is-biased
118,is-biased
119,is-biased
120,is-biased
121,is-biased
122,is-biased
123,is-biased
124,is-biased
125,is-biased
126,is-biased
127,is-biased
128,is-biased
129,is-not-biased
130,is-biased
131,is-biased
132,is-not-biased
133,is-biased
134,is-biased
135,is-not-biased
136,is-not-biased
137,is-not-biased
138,is-not-biased
139,is-not-biased
140,Is-not-biased
141,is-not-biased
142,is-not-biased
143,is-not-biased
144,is-biased
145,is-biased
146,is-biased
147,is-biased
148,is-biased
149,is-biased
150,is-biased
151,is-biased
152,is-biased
153,is-biased
154,is-not-biased
155,is-biased
156,is-biased
157,is-biased
158,is-biased
159,is-not-biased
160,is-not-biased
161,is-biased
162,is-biased
163,is-biased
164,is-biased
165,is-biased
166,is-biased
167,is-biased
168,is-biased
169,is-biased
170,is-biased
171,is-biased
172,is-biased
173,is-biased
174,is-biased
175,is-biased
176,is-biased
177,is-biased
178,is-biased
179,is-biased
180,is-biased
181,is-biased
182,is-not-biased
183,is-biased
184,is-biased
185,is-biased
186,is-not-biased
187,is-biased
188,is-biased
189,is-biased
190,is-biased
191,is-biased
192,is-biased
193,is-biased
194,is-biased
195,is-biased
196,is-not-biased
197,is-biased
198,is-biased
199,is-biased
200,is-biased
201,is-biased
202,is-biased
203,is-biased
204,is-biased
205,is-biased
206,is-biased
207,is-biased
208,is-biased
209,is-biased
210,is-biased
211,is-biased
212,is-biased
213,is-biased
214,is-biased
215,is-biased
216,is-biased
217,is-biased
218,is-biased
219,is-biased
220,is-biased
221,is-biased
222,is-biased
223,is-biased
224,is-biased
225,is-biased
226,is-biased
227,Is-biased
228,is-biased
229,is-biased
230,is-biased
231,is-biased
232,is-biased
233,is-biased
234,is-biased
235,is-biased
236,is-biased
237,is-biased
238,is-biased
239,is-biased
240,is-biased
241,is-biased
242,is-biased
243,is-biased
244,is-biased
245,is-biased
246,is-biased
247,is-biased
248,is-biased
249,is-biased
250,is-biased
251,is-biased
252,is-biased
253,is-biased
254,Is-biased
255,is-biased
256,is-biased
257,Is-biased
258,Is-Biased
259,is-biased
260,is-biased
261,is-biased
262,is-biased
263,is-biased
264,is-biased
265,is-biased
266,is-biased
267,is-biased
268,is-biased
269,is-biased
270,is-biased
271,is-not-biased
272,is-not-biased
273,is-not-biased
274,is-not-biased
275,is-not-biased
276,is-biased
277,is-not-biased
278,is-not-biased
279,is-not-biased
280,is-biased
281,is-biased
282,is-not-biased
283,is-biased
284,is-biased
285,is-biased
286,is-biased
287,is-biased
288,is-biased
289,is-not-biased
290,is-biased
291,is-biased
292,is-not-biased
293,is-not-biased
294,is-biased
295,is-biased
296,is-biased
297,is-not-biased
298,is-not-biased
299,is-not-biased
300,is-not-biased
301,is-not-biased
302,is-not-biased
303,is-biased
304,is-biased
305,is-biased
306,is-biased
307,is-biased
308,is-biased
309,is-biased
310,is-biased
311,is-biased
312,is-biased
313,is-biased
314,is-biased
315,is-biased
316,is-biased
317,is-not-biased
318,is-biased
319,is-not-biased
320,is-biased
321,is-not-biased
322,is-not-biased
323,is-not-biased
324,is-not-biased
325,is-not-biased
326,is-not-biased
327,is-not-biased
328,is-not-biased
329,is-not-biased
330,is-not-biased
331,is-not-biased
332,is-not-biased
333,is-not-biased
334,is-not-biased
335,is-not-biased
336,is-not-biased
337,is-not-biased
338,is-not-biased
339,is-not-biased
340,is-not-biased
341,is-not-biased
342,is-not-biased
343,is-not-biased
344,is-not-biased
345,is-not-biased
346,is-not-biased
347,is-not-biased
348,is-not-biased
349,is-not-biased
350,is-not-biased
351,is-not-biased
352,is-not-biased
353,is-not-biased
354,is-not-biased
355,is-not-biased
356,is-not-biased
357,is-not-biased
358,is-not-biased
359,Is-not-biased
360,is-not-biased
361,is-biased
362,is-not-biased
363,is-not-biased
364,is-not-biased
365,is-not-biased
366,is-biased
367,is-not-biased
368,is-not-biased
369,is-not-biased
370,is-not-biased
371,is-biased
372,is-not-biased
373,is-not-biased
374,is-not-biased
375,is-not-biased
376,is-not-biased
377,is-biased
378,is-biased
379,is-not-biased
380,is-biased
381,is-biased
382,is-biased
383,is-biased
384,is-biased
385,is-biased
386,is-biased
387,is-biased
388,is-biased
389,is-biased
390,is-biased
391,is-biased
392,is-biased
393,is-biased
394,is-biased
395,is-biased
396,is-biased
397,is-not-biased
398,is-biased
399,is-not-biased
400,is-not-biased
401,is-not-biased
402,is-biased
403,is-not-biased
404,is-not-biased
405,is-not-biased
406,is-biased
407,is-biased
408,is-not-biased
409,is-not-biased
410,is-not-biased
411,is-not-biased
412,Is-not-biased
413,is-not-biased
414,is-biased
415,is-not-biased
416,is-not-biased
417,is-biased
418,is-not-biased
419,is-biased
420,is-not-biased
421,is-not-biased
422,is-biased
423,is-not-biased
424,is-not-biased
425,is-not-biased
426,is-biased
427,is-not-biased
428,is-not-biased
429,is-not-biased
430,is-not-biased
431,is-not-biased
432,is-not-biased
433,is-not-biased
434,is-not-biased
435,is-not-biased
436,is-not-biased
437,is-not-biased
438,is-not-biased
439,is-not-biased
440,is-not-biased
441,is-not-biased
442,is-not-biased
443,is-not-biased
444,is-not-biased
445,is-not-biased
446,is-not-biased
447,is-not-biased
448,is-not-biased
449,is-not-biased
450,is-not-biased
451,is-not-biased
452,is-not-biased
453,is-not-biased
454,is-not-biased
455,is-not-biased
456,is-not-biased
457,is-not-biased
458,is-not-biased
459,is-not-biased
460,is-not-biased
461,is-not-biased
462,is-not-biased
463,is-not-biased
464,is-not-biased
465,is-biased
466,is-biased
467,is-biased
468,is-biased
469,is-biased
470,is-biased
471,is-biased
472,is-biased
473,is-biased
474,is-biased
475,is-biased
476,is-biased
477,is-biased
478,is-biased
479,is-biased
480,is-biased
481,is-biased
482,is-biased
483,is-biased
484,is-biased
485,is-not-biased
486,is-biased
487,is-not-biased
488,is-biased
489,is-biased
490,is-biased
491,is-not-biased
492,is-biased
493,is-biased
494,is-biased
495,Is-biased
496,is-biased
497,is-biased
498,is-biased
499,is-biased
500,is-biased
501,is-biased
502,is-biased
503,is-biased
504,is-biased
505,is-biased
506,is-biased
507,is-biased
508,is-biased
509,is-biased
510,is-biased
511,is-biased
512,is-biased
513,is-biased
514,is-biased
515,is-biased
516,is-biased
517,is-biased
518,is-biased
519,is-biased
520,is-biased
521,is-biased
522,is-not-biased
523,is-not-biased
524,
525,
526,
527,
528,
529,is-biased
530,is-biased
531,is-biased
532,is-biased
533,is-biased
534,is-biased
535,is-biased
536,is-not-biased
537,is-not-biased
538,is-not-biased
539,is-not-biased
540,is-not-biased
541,is-not-biased
542,is-biased
543,Is-biased
544,is-not-biased
545,is-not-biased
546,is-biased
547,is-biased
548,is-biased
549,is-biased
550,is-biased
551,is-biased
552,is-biased
553,is-biased
554,is-biased
555,is-not-biased
556,is-not-biased
557,is-not-biased
558,is-not-biased
559,is-not-biased
560,is-not-biased
561,is-not-biased
562,is-not-biased
563,is-biased
564,is-biased
565,is-biased
566,is-biased
567,is-biased
568,is-biased
569,is-not-biased
570,is-biased
571,is-biased
572,is-biased
573,is-not-biased
574,is-biased
575,is-not-biased
576,is-not-biased
577,is-not-biased
578,is-not-biased
579,is-not-biased
580,is-not-biased
581,is-not-biased
582,is-not-biased
583,is-biased
584,is-not-biased
585,is-not-biased
586,Is-biased
587,is-not-biased
588,is-not-biased
589,is-not-biased
590,is-not-biased
591,is-not-biased
592,is-biased
593,is-not-biased
594,is-not-biased
595,is-not-biased
596,is-not-biased
597,is-not-biased
598,is-not-biased
599,is-not-biased
600,is-not-biased
601,is-not-biased
602,is-not-biased
603,is-not-biased
604,is-not-biased
605,is-not-biased
606,is-not-biased
607,is-biased
608,is-biased
609,is-biased
610,is-biased
611,is-biased
612,is-not-biased
613,is-not-biased
614,is-biased
615,is-biased
616,is-biased
617,is-not-biased
618,is-not-biased
619,is-not-biased
620,is-not-biased
621,is-not-biased
622,is-not-biased
623,is-not-biased
624,is-not-biased
625,is-not-biased
626,is-not-biased
627,is-not-biased
628,is-not-biased
629,is-not-biased
630,is-not-biased
631,is-not-biased
632,is-not-biased
633,is-not-biased
634,is-not-biased
635,is-not-biased
636,is-not-biased
637,is-not-biased
638,is-not-biased
639,is-not-biased
640,is-not-biased
641,is-not-biased
642,is-not-biased
643,is-not-biased
644,is-not-biased
645,is-not-biased
646,is-not-biased
647,is-not-biased
648,is-not-biased
649,is-not-biased
650,is-not-biased
651,is-not-biased
652,is-not-biased
653,is-not-biased
654,is-not-biased
655,is-not-biased
656,is-not-biased
657,is-not-biased
658,is-not-biased
659,is-not-biased
660,is-not-biased
661,is-not-biased
662,is-not-biased
663,is-not-biased
664,is-not-biased
665,is-not-biased
666,is-not-biased
667,is-not-biased
668,is-not-biased
669,is-not-biased
670,is-not-biased
671,is-not-biased
672,is-not-biased
673,is-not-biased
674,is-not-biased
675,is-not-biased
676,is-not-biased
677,is-not-biased
678,is-not-biased
679,is-not-biased
680,is-not-biased
681,is-not-biased
682,is-not-biased
683,is-not-biased
684,is-not-biased
685,is-not-biased
686,is-not-biased
687,is-biased
688,is-not-biased
689,is-biased
690,is-biased
691,is-not-biased
692,is-biased
693,is-biased
694,is-biased
695,is-biased
696,is-not-biased
697,is-not-biased
698,is-not-biased
699,is-not-biased
700,is-not-biased
701,is-not-biased
702,is-biased
703,is-not-biased
704,is-not-biased
705,is-biased
706,is-biased
707,is-biased
708,is-biased
709,is-not-biased
710,is-biased
711,is-biased
712,Is-biased
713,is-biased
714,is-biased
715,is-not-biased
716,is-not-biased
717,is-not-biased
718,is-biased
719,is-biased
720,is-biased
721,is-biased
722,is-biased
723,is-not-biased
724,is-not-biased
725,is-not-biased
726,is-biased
727,is-not-biased
728,is-not-biased
729,is-not-biased
