article_id,bias_question
6,is-biased
209,is-biased
223,is-biased
261,is-biased
73,unknown
25,is-not-biased
112,is-biased
148,is-biased
72,is-biased
19,is-biased
114,is-biased
93,is-biased
15,is-biased
10,is-biased
82,is-biased
68,is-not-biased
208,is-biased
37,is-biased
16,is-biased
287,unknown
140,is-biased
262,is-not-biased
67,is-biased
285,is-biased
126,is-biased
137,is-not-biased
111,is-biased
210,is-biased
152,is-biased
18,is-biased
275,is-biased
86,is-biased
227,unknown
92,is-not-biased
97,is-not-biased
108,is-biased
212,unknown
55,is-biased
184,is-biased
232,is-biased
38,is-biased
178,is-biased
170,is-not-biased
57,is-biased
116,unknown
154,is-biased
157,is-not-biased
194,is-biased
213,unknown
31,is-biased
268,unknown
78,is-not-biased
206,is-biased
177,is-biased
229,is-biased
263,is-biased
96,is-biased
172,is-biased
132,unknown
195,is-not-biased
167,is-not-biased
179,is-biased
69,is-biased
236,is-biased
2,is-biased
104,is-biased
76,is-biased
115,unknown
248,is-biased
164,is-not-biased
186,is-biased
120,is-not-biased
193,is-biased
246,is-not-biased
127,is-biased
74,is-biased
29,unknown
247,is-not-biased
222,is-biased
107,is-biased
139,is-biased
144,unknown
231,unknown
173,is-biased
281,is-biased
65,is-biased
181,is-biased
85,is-not-biased
196,is-not-biased
12,is-not-biased
35,is-biased
28,is-not-biased
142,is-biased
240,is-not-biased
233,is-biased
155,is-not-biased
51,is-biased
95,is-biased
274,is-biased
203,is-biased
41,is-biased
250,is-biased
200,is-biased
136,is-biased
26,is-not-biased
283,is-biased
141,is-biased
183,is-biased
0,is-biased
260,is-not-biased
100,is-not-biased
239,is-biased
234,is-biased
98,is-not-biased
36,is-biased
61,is-biased
150,is-biased
216,is-biased
185,unknown
221,is-biased
11,is-biased
286,is-biased
259,is-biased
27,is-biased
202,is-biased
4,is-biased
122,is-not-biased
32,is-biased
204,is-biased
162,is-biased
192,is-not-biased
237,is-biased
138,is-biased
62,is-biased
135,is-biased
128,is-biased
280,is-biased
251,is-not-biased
70,is-biased
256,is-biased
64,unknown
44,is-not-biased
215,is-biased
156,is-biased
40,is-biased
123,is-biased
244,is-biased
153,is-not-biased
23,is-biased
271,is-biased
245,is-biased
81,is-not-biased
207,is-biased
39,is-biased
219,is-not-biased
238,unknown
199,is-not-biased
14,is-biased
47,is-biased
94,is-biased
254,unknown
265,is-biased
201,is-biased
161,unknown
43,is-biased
217,is-biased
145,unknown
190,is-not-biased
220,unknown
230,is-not-biased
3,is-biased
105,is-biased
53,is-biased
133,is-biased
1,is-biased
131,unknown
103,is-biased
49,is-biased
163,unknown
80,is-biased
205,is-not-biased
34,is-biased
264,is-not-biased
7,is-not-biased
171,is-biased
198,is-biased
266,is-biased
110,is-biased
91,is-not-biased
83,is-not-biased
129,is-biased
52,is-biased
89,is-biased
8,is-biased
249,is-not-biased
241,is-biased
13,is-biased
59,is-not-biased
88,is-biased
166,is-biased
284,is-biased
134,unknown
277,is-not-biased
243,is-biased
54,is-biased
50,is-biased
174,unknown
189,is-biased
187,is-biased
169,is-biased
58,is-biased
48,is-biased
235,is-biased
252,is-not-biased
21,is-biased
160,is-biased
191,is-not-biased
257,unknown
149,is-biased
130,is-biased
151,is-biased
99,is-not-biased
87,is-biased
214,unknown
121,is-not-biased
289,is-not-biased
20,is-biased
188,unknown
71,is-biased
106,is-biased
270,is-biased
102,is-biased
