article_id,bias_question,gpt_3.5_turbo_result
84,is-biased,is-biased
258,is-biased,is-biased
45,is-biased,is-biased
175,unknown,is-biased
143,is-not-biased,is-biased
125,unknown,is-biased
224,unknown,is-biased
118,is-biased,is-biased
9,is-biased,is-biased
90,is-biased,is-biased
147,is-biased,is-biased
273,is-biased,is-biased
33,is-biased,is-biased
278,is-not-biased,is-biased
218,is-biased,is-biased
77,is-biased,is-biased
46,is-biased,is-biased
5,is-biased,is-biased
228,is-biased,is-biased
253,is-biased,is-biased
124,is-biased,is-biased
288,is-not-biased,is-biased
276,is-biased,is-biased
101,is-biased,is-biased
75,is-biased,is-biased
269,is-biased,is-biased
272,is-biased,is-biased
109,is-biased,is-biased
60,is-biased,is-biased
226,is-not-biased,is-biased
42,is-biased,is-biased
56,is-biased,is-biased
282,is-biased,is-biased
117,is-biased,is-biased
255,is-biased,is-biased
165,is-biased,is-biased
279,unknown,is-biased
113,unknown,is-biased
159,unknown,is-biased
63,unknown,is-biased
146,is-biased,is-biased
66,is-biased,is-biased
267,unknown,is-biased
158,is-biased,is-biased
180,is-biased,is-biased
30,is-biased,is-biased
22,is-biased,is-biased
24,is-biased,is-biased
225,is-biased,is-biased
119,unknown,is-biased
197,is-biased,is-biased
79,is-biased,is-biased
17,is-biased,is-biased
242,is-biased,is-biased
211,unknown,is-biased
176,is-not-biased,is-biased
182,is-biased,is-biased
168,is-not-biased,is-biased
