id,result
0,is-biased
1,is-not-biased
2,is-not-biased
3,is-biased
4,is-not-biased
5,is-biased
6,is-not-biased
7,is-not-biased
8,is-not-biased
9,is-not-biased
10,is-biased
11,is-biased
12,is-biased
13,is-biased
14,is-biased
15,is-biased
16,is-biased
17,is-biased
18,is-biased
19,is-biased
20,is-biased
21,is-biased
22,is-not-biased
23,is-not-biased
24,is-biased
25,is-not-biased
26,is-biased
27,is-biased
28,is-not-biased
29,is-biased
30,is-biased
31,is-biased
32,is-biased
33,is-not-biased
34,is-biased
35,is-not-biased
36,is-not-biased
37,is-not-biased
38,is-biased
39,is-biased
40,is-biased
41,is-biased
42,is-not-biased
43,
44,is-biased
45,is-not-biased
46,is-biased
47,is-not-biased
48,is-not-biased
49,is-biased
50,is-not-biased
51,is-not-biased
52,is-biased
53,is-biased
54,is-biased
55,is-not-biased
56,is-not-biased
57,is-biased
58,is-biased
59,is-biased
60,is-biased
61,is-not-biased
62,is-not-biased
63,is-biased
64,is-biased
65,is-biased
66,is-biased
67,is-not-biased
68,is-biased
69,is-not-biased
70,is-biased
71,is-not-biased
72,is-biased
73,is-not-biased
74,is-biased
75,is-not-biased
76,is-not-biased
77,is-biased
78,is-biased
79,is-not-biased
80,is-not-biased
81,is-not-biased
82,is-biased
83,is-not-biased
84,is-biased
85,is-biased
86,is-not-biased
87,is-not-biased
88,is-biased
89,is-not-biased
90,is-biased
91,is-not-biased
92,is-not-biased
93,is-biased
94,is-not-biased
95,is-not-biased
96,is-biased
97,is-not-biased
98,is-biased
99,is-not-biased
100,is-not-biased
101,is-not-biased
102,is-biased
103,is-biased
104,is-biased
105,is-not-biased
106,is-not-biased
107,is-not-biased
108,is-biased
109,is-biased
110,is-not-biased
111,is-not-biased
112,is-not-biased
113,is-not-biased
114,is-biased
115,is-not-biased
116,is-biased
117,is-biased
118,is-biased
119,is-not-biased
120,is-not-biased
121,is-biased
122,is-biased
123,is-not-biased
124,is-not-biased
125,is-biased
126,is-biased
127,is-biased
128,is-biased
129,is-biased
130,is-not-biased
131,is-not-biased
132,is-not-biased
133,is-biased
134,is-not-biased
135,is-not-biased
136,is-biased
137,is-biased
138,is-biased
139,is-not-biased
140,is-biased
141,is-not-biased
142,is-not-biased
143,is-biased
144,is-biased
145,is-biased
146,is-not-biased
147,is-not-biased
148,is-biased
149,is-biased
150,is-biased
151,is-biased
152,is-biased
153,is-not-biased
154,is-biased
155,is-not-biased
156,is-biased
157,is-not-biased
158,is-not-biased
159,is-not-biased
160,is-biased
161,is-not-biased
162,is-biased
163,is-biased
164,is-not-biased
165,is-not-biased
166,is-biased
167,is-not-biased
168,is-biased
169,is-not-biased
170,is-biased
171,is-biased
172,is-biased
173,is-not-biased
174,is-biased
175,is-biased
176,is-biased
177,is-biased
178,is-not-biased
179,is-not-biased
180,is-not-biased
181,is-not-biased
182,is-not-biased
183,is-not-biased
184,is-biased
185,is-biased
186,is-biased
187,is-biased
188,is-biased
189,is-not-biased
190,is-not-biased
191,is-biased
192,is-not-biased
193,is-biased
194,is-biased
195,is-not-biased
196,is-not-biased
197,is-not-biased
198,is-biased
199,is-biased
200,is-biased
201,is-not-biased
202,is-biased
203,is-not-biased
204,is-biased
205,is-biased
206,is-biased
207,is-biased
208,is-not-biased
209,is-biased
210,is-not-biased
211,is-not-biased
212,is-not-biased
213,is-not-biased
214,is-biased
215,is-biased
216,is-biased
217,is-not-biased
218,is-biased
219,is-biased
220,is-biased
221,is-biased
222,is-biased
223,is-not-biased
224,is-biased
225,is-not-biased
226,is-biased
227,is-not-biased
228,is-biased
229,is-biased
230,is-biased
231,is-biased
232,is-biased
233,is-biased
234,is-biased
235,is-biased
236,is-biased
237,is-not-biased
238,is-not-biased
239,is-biased
240,is-biased
241,is-biased
242,is-not-biased
243,is-biased
244,is-not-biased
245,is-biased
246,is-biased
247,is-not-biased
248,is-not-biased
249,is-biased
250,is-biased
251,is-biased
252,is-not-biased
253,is-biased
254,is-biased
255,is-biased
256,is-biased
257,is-not-biased
258,is-not-biased
259,is-biased
260,is-biased
261,is-biased
262,is-biased
263,is-not-biased
264,is-biased
265,is-not-biased
266,is-not-biased
267,is-not-biased
268,is-biased
269,is-not-biased
270,is-biased
271,is-not-biased
272,is-not-biased
273,is-not-biased
274,is-biased
275,is-biased
276,is-not-biased
277,is-not-biased
278,is-biased
279,is-not-biased
280,is-biased
281,is-biased
282,is-not-biased
283,is-biased
284,is-not-biased
285,is-not-biased
286,is-biased
287,is-not-biased
288,is-biased
289,is-biased
